Date,Code,Open,Close,Volume
2019-04-12,FB,178.0,179.1,12329800
2019-04-12,GOOGL,1215.62,1222.73,1215600
2019-04-12,NFLX,360.69,351.14,15646200
2019-04-15,FB,178.5,179.65,10834800
2019-04-15,GOOGL,1224.09,1226.53,1189800
2019-04-15,NFLX,350.71,348.87,8842300
2019-04-16,FB,179.0,178.87,11215200
2019-04-16,GOOGL,1230.0,1231.91,1131100
2019-04-16,NFLX,355.0,359.46,18740200
2019-04-17,FB,179.6,178.78,9973700
2019-04-17,GOOGL,1237.0,1240.14,1518300
2019-04-17,NFLX,365.05,354.74,18054100
2019-04-18,FB,178.8,178.28,11655600
2019-04-18,GOOGL,1245.0,1241.47,1237500
2019-04-18,NFLX,355.0,360.35,8353200
2019-04-22,FB,178.25,181.44,13389900
2019-04-22,GOOGL,1236.67,1253.76,954200
2019-04-22,NFLX,359.7,377.34,11980500
2019-04-23,FB,182.74,183.78,19954800
2019-04-23,GOOGL,1256.64,1270.59,1593400
2019-04-23,NFLX,375.45,381.89,10089800
2019-04-24,FB,184.49,182.58,37289900
2019-04-24,GOOGL,1270.59,1260.05,1169800
2019-04-24,NFLX,381.07,374.23,6541900
2019-04-25,FB,196.98,193.26,54148800
2019-04-25,GOOGL,1270.3,1267.34,1567200
2019-04-25,NFLX,374.49,368.33,6255500
2019-04-26,FB,192.5,191.49,22075000
2019-04-26,GOOGL,1273.38,1277.42,1361400
2019-04-26,NFLX,368.35,374.85,5621900
2019-04-29,FB,190.95,194.78,19641300
2019-04-29,GOOGL,1280.51,1296.2,3618400
2019-04-29,NFLX,373.68,371.83,3821700
2019-04-30,FB,194.19,193.4,23494700
2019-04-30,GOOGL,1190.63,1198.96,6658900
2019-04-30,NFLX,369.56,370.54,3870100
2019-05-01,FB,194.78,193.03,15996600
2019-05-01,GOOGL,1197.5,1173.32,3717000
2019-05-01,NFLX,374.0,378.81,9257300
2019-05-02,FB,193.0,192.53,13209500
2019-05-02,GOOGL,1172.6,1166.51,2254900
2019-05-02,NFLX,378.0,379.06,5398200
2019-05-03,FB,194.38,195.47,14575400
2019-05-03,GOOGL,1177.41,1189.55,2079400
2019-05-03,NFLX,381.53,385.03,5130300
2019-05-06,FB,191.24,193.88,13994900
2019-05-06,GOOGL,1172.0,1193.46,1588700
2019-05-06,NFLX,377.69,378.67,5793100
2019-05-07,FB,192.54,189.77,16253000
2019-05-07,GOOGL,1185.81,1178.86,1830200
2019-05-07,NFLX,377.0,370.46,6974900
2019-05-08,FB,189.39,189.54,12505700
2019-05-08,GOOGL,1177.29,1170.78,1276000
2019-05-08,NFLX,367.92,364.37,6572000
2019-05-09,FB,187.2,188.65,12967000
2019-05-09,GOOGL,1162.6,1167.97,1477800
2019-05-09,NFLX,360.9,362.75,5882600
2019-05-10,FB,188.25,188.34,12578500
2019-05-10,GOOGL,1168.84,1167.64,1582500
2019-05-10,NFLX,361.62,361.04,5657100
2019-05-13,FB,183.5,181.54,16833300
2019-05-13,GOOGL,1145.24,1136.59,2281300
2019-05-13,NFLX,352.29,345.26,8026700
2019-05-14,FB,182.52,180.73,17628100
2019-05-14,GOOGL,1142.32,1124.86,2019600
2019-05-14,NFLX,348.71,345.61,5353000
2019-05-15,FB,180.42,186.27,16746900
2019-05-15,GOOGL,1122.55,1170.8,2965100
2019-05-15,NFLX,343.34,354.99,6340100
2019-05-16,FB,185.05,186.99,12953100
2019-05-16,GOOGL,1171.84,1184.5,1765400
2019-05-16,NFLX,356.37,359.31,6441500
2019-05-17,FB,184.84,185.3,10485400
2019-05-17,GOOGL,1175.83,1168.78,1268100
2019-05-17,NFLX,356.39,354.45,4725400
2019-05-20,FB,181.88,182.72,10352000
2019-05-20,GOOGL,1153.0,1144.66,1530100
2019-05-20,NFLX,351.23,348.11,4621500
2019-05-21,FB,184.57,184.82,7502800
2019-05-21,GOOGL,1154.48,1154.44,1028100
2019-05-21,NFLX,350.95,354.27,4026400
2019-05-22,FB,184.73,185.32,9213800
2019-05-22,GOOGL,1151.25,1155.85,941300
2019-05-22,NFLX,358.01,359.73,6229400
2019-05-23,FB,182.42,180.87,12768800
2019-05-23,GOOGL,1146.07,1145.34,1260700
2019-05-23,NFLX,355.5,352.21,5630400
2019-05-24,FB,182.33,181.06,8807700
2019-05-24,GOOGL,1152.0,1138.61,927700
2019-05-24,NFLX,355.41,354.39,3831000
2019-05-28,FB,181.54,184.31,14843300
2019-05-28,GOOGL,1141.48,1139.56,1047400
2019-05-28,NFLX,354.39,355.06,4717100
2019-05-29,FB,183.5,182.19,12797700
2019-05-29,GOOGL,1132.7,1119.94,1811500
2019-05-29,NFLX,353.6,349.19,5658900
2019-05-30,FB,183.08,183.01,8581500
2019-05-30,GOOGL,1120.15,1121.41,904400
2019-05-30,NFLX,350.55,351.85,4008000
2019-05-31,FB,180.28,177.47,15226500
2019-05-31,GOOGL,1105.64,1106.5,1579100
2019-05-31,NFLX,347.22,343.28,5023400
2019-06-03,FB,175.0,164.15,56059600
2019-06-03,GOOGL,1066.93,1038.74,4844500
2019-06-03,NFLX,343.56,336.63,7849600
2019-06-04,FB,163.71,167.5,46044300
2019-06-04,GOOGL,1044.49,1054.49,3025600
2019-06-04,NFLX,345.0,353.4,7891600
2019-06-05,FB,167.48,168.17,19758300
2019-06-05,GOOGL,1055.0,1044.64,2349400
2019-06-05,NFLX,354.38,355.73,5020100
2019-06-06,FB,168.3,168.33,12446400
2019-06-06,GOOGL,1046.21,1047.76,1451000
2019-06-06,NFLX,354.84,357.13,3710000
2019-06-07,FB,170.17,173.35,16917300
2019-06-07,GOOGL,1054.28,1068.37,2191400
2019-06-07,NFLX,357.39,360.87,4777300
2019-06-10,FB,174.75,174.82,14767900
2019-06-10,GOOGL,1077.0,1082.76,1425500
2019-06-10,NFLX,363.65,352.01,7810300
2019-06-11,FB,178.48,178.1,15266600
2019-06-11,GOOGL,1096.99,1081.04,1675400
2019-06-11,NFLX,355.0,351.27,5396700
2019-06-12,FB,178.38,175.04,17699800
2019-06-12,GOOGL,1079.95,1079.1,1183500
2019-06-12,NFLX,351.82,345.56,4584700
2019-06-13,FB,175.53,177.47,12253600
2019-06-13,GOOGL,1084.71,1091.01,1040700
2019-06-13,NFLX,347.23,343.43,6209300
2019-06-14,FB,180.51,181.33,16773700
2019-06-14,GOOGL,1089.74,1086.3,1229100
2019-06-14,NFLX,341.63,339.73,5019000
2019-06-17,FB,185.01,189.01,29459900
2019-06-17,GOOGL,1089.1,1093.89,988500
2019-06-17,NFLX,342.69,350.62,5358200
2019-06-18,FB,194.0,188.47,37571400
2019-06-18,GOOGL,1111.5,1105.24,1726300
2019-06-18,NFLX,355.57,357.12,5428500
2019-06-19,FB,187.0,187.48,21417100
2019-06-19,GOOGL,1107.24,1104.51,1335700
2019-06-19,NFLX,361.72,363.52,5667200
2019-06-20,FB,190.95,189.53,14635700
2019-06-20,GOOGL,1121.7,1113.2,1200900
2019-06-20,NFLX,365.91,365.21,5899500
2019-06-21,FB,188.75,191.14,22751200
2019-06-21,GOOGL,1109.86,1125.37,2538700
2019-06-21,NFLX,365.0,369.21,7448400
2019-06-24,FB,192.42,192.6,15509000
2019-06-24,GOOGL,1120.0,1116.7,1211800
2019-06-24,NFLX,370.27,371.04,4830200
2019-06-25,FB,192.88,188.84,16750300
2019-06-25,GOOGL,1115.08,1087.58,1582200
2019-06-25,NFLX,370.75,360.3,5750400
2019-06-26,FB,189.54,187.66,12808600
2019-06-26,GOOGL,1091.0,1080.32,1734900
2019-06-26,NFLX,361.6,362.2,3669700
2019-06-27,FB,189.88,189.5,11159000
2019-06-27,GOOGL,1086.75,1076.63,1203900
2019-06-27,NFLX,363.2,370.02,4138600
2019-06-28,FB,190.55,193.0,16378900
2019-06-28,GOOGL,1077.23,1082.8,1683600
2019-06-28,NFLX,370.26,367.32,4592700
2019-07-01,FB,195.21,193.0,14181800
2019-07-01,GOOGL,1101.04,1100.0,1459800
2019-07-01,NFLX,373.5,374.6,4992600
2019-07-02,FB,193.0,195.0,9050000
2019-07-02,GOOGL,1104.83,1112.6,1031500
2019-07-02,NFLX,374.89,375.43,3625000
2019-07-03,FB,194.16,197.2,10246100
2019-07-03,GOOGL,1118.5,1122.99,1007700
2019-07-03,NFLX,376.69,381.72,3799000
2019-07-05,FB,196.18,196.4,11164100
2019-07-05,GOOGL,1119.37,1132.67,1489700
2019-07-05,NFLX,378.29,380.55,3732200
2019-07-08,FB,195.19,195.76,9723900
2019-07-08,GOOGL,1125.87,1116.79,1494400
2019-07-08,NFLX,378.19,376.16,3113400
2019-07-09,FB,194.97,199.21,14698600
2019-07-09,GOOGL,1110.32,1124.29,1473600
2019-07-09,NFLX,379.06,379.93,6932800
2019-07-10,FB,200.0,202.73,20571700
2019-07-10,GOOGL,1132.32,1140.91,1535500
2019-07-10,NFLX,382.77,381.0,5878800
2019-07-11,FB,203.26,201.23,13678500
2019-07-11,GOOGL,1146.16,1144.08,1300200
2019-07-11,NFLX,381.1,379.5,4336300
2019-07-12,FB,199.68,204.87,15366300
2019-07-12,GOOGL,1142.93,1145.34,1093900
2019-07-12,NFLX,378.68,373.25,6636900
2019-07-15,FB,204.25,203.91,16030300
2019-07-15,GOOGL,1145.34,1150.51,1058200
2019-07-15,NFLX,372.94,366.6,7944700
2019-07-16,FB,203.89,203.84,12132700
2019-07-16,GOOGL,1146.73,1153.46,1267600
2019-07-16,NFLX,370.09,365.99,5863200
2019-07-17,FB,204.18,201.8,12083700
2019-07-17,GOOGL,1150.92,1146.74,976900
2019-07-17,NFLX,366.25,362.44,13639500
2019-07-18,FB,200.15,200.78,11937900
2019-07-18,GOOGL,1142.0,1147.24,1272500
2019-07-18,NFLX,323.76,325.21,31287100
2019-07-19,FB,202.18,198.36,12098300
2019-07-19,GOOGL,1149.32,1131.55,1159200
2019-07-19,NFLX,323.4,315.1,16302500
2019-07-22,FB,199.91,202.32,13589000
2019-07-22,GOOGL,1135.47,1139.21,1445700
2019-07-22,NFLX,312.0,310.62,17718000
2019-07-23,FB,202.84,202.36,14583700
